Padrao,Busca,DensidadeRegiao
0,DFS,0.05404934998861978
16,DFS,0.05404934998861978
65,DFS,0.05404934998861978
13,DFS,0.05404934998861978
45,DFS,0.05404934998861978
34,DFS,0.05404934998861978
47,DFS,0.05404934998861978
89,DFS,0.05404934998861978
129,DFS,0.05404934998861978
281,DFS,0.05404934998861978
15,DFS,0.05404934998861978
56,DFS,0.05404934998861978
78,DFS,0.05404934998861978
208,DFS,0.05404934998861978
35,DFS,0.05404934998861978
25,DFS,0.05404934998861978
179,DFS,0.05404934998861978
33,DFS,0.05404934998861978
77,DFS,0.05404934998861978
93,DFS,0.05404934998861978
68,DFS,0.05404934998861978
26,DFS,0.05404934998861978
28,DFS,0.05404934998861978
114,DFS,0.05404934998861978
151,DFS,0.05404934998861978
29,DFS,0.05404934998861978
21,DFS,0.05404934998861978
150,DFS,0.05404934998861978
30,DFS,0.05404934998861978
217,DFS,0.05404934998861978
176,DFS,0.05404934998861978
4,DFS,0.05404934998861978
225,DFS,0.05404934998861978
99,DFS,0.05404934998861978
79,DFS,0.05404934998861978
58,DFS,0.05404934998861978
154,DFS,0.05404934998861978
2,DFS,0.05404934998861978
123,DFS,0.05404934998861978
85,DFS,0.05404934998861978
20,DFS,0.05404934998861978
46,DFS,0.05404934998861978
38,DFS,0.05404934998861978
83,DFS,0.05404934998861978
59,DFS,0.05404934998861978
52,DFS,0.05404934998861978
43,DFS,0.05404934998861978
8,DFS,0.05404934998861978
117,DFS,0.05404934998861978
39,DFS,0.05404934998861978
275,DFS,0.05404934998861978
66,DFS,0.05404934998861978
101,DFS,0.05404934998861978
146,DFS,0.05404934998861978
147,DFS,0.05404934998861978
133,DFS,0.05404934998861978
73,DFS,0.05404934998861978
155,DFS,0.05404934998861978
278,DFS,0.05404934998861978
287,DFS,0.05404934998861978
160,DFS,0.05404934998861978
137,DFS,0.05404934998861978
81,DFS,0.05404934998861978
23,DFS,0.05404934998861978
18,DFS,0.05404934998861978
54,DFS,0.05404934998861978
96,DFS,0.05404934998861978
148,DFS,0.05404934998861978
161,DFS,0.05404934998861978
174,DFS,0.05404934998861978
153,DFS,0.05404934998861978
214,DFS,0.05404934998861978
273,DFS,0.05404934998861978
131,DFS,0.05404934998861978
204,DFS,0.05404934998861978
227,DFS,0.05404934998861978
231,DFS,0.05404934998861978
252,DFS,0.05404934998861978
200,DFS,0.05404934998861978
168,DFS,0.05404934998861978
108,DFS,0.05404934998861978
37,DFS,0.05404934998861978
292,DFS,0.05404934998861978
290,DFS,0.05404934998861978
138,DFS,0.05404934998861978
277,DFS,0.05404934998861978
76,DFS,0.05404934998861978
172,DFS,0.05404934998861978
95,DFS,0.05404934998861978
149,DFS,0.05404934998861978
300,DFS,0.05404934998861978
251,DFS,0.05404934998861978
206,DFS,0.05404934998861978
357,DFS,0.05404934998861978
353,DFS,0.05404934998861978
86,DFS,0.05404934998861978
484,DFS,0.05404934998861978
535,DFS,0.05404934998861978
257,DFS,0.05404934998861978
365,DFS,0.05404934998861978
42,DFS,0.05404934998861978
44,DFS,0.05404934998861978
164,DFS,0.05404934998861978
162,DFS,0.05404934998861978
378,DFS,0.05404934998861978
249,DFS,0.05404934998861978
228,DFS,0.05404934998861978
198,DFS,0.05404934998861978
