Padrao,Busca,DensidadeRegiao
0,BFS,0.3553417355558567
6,BFS,0.3553417355558567
9,BFS,0.3553417355558567
11,BFS,0.3553417355558567
13,BFS,0.3553417355558567
16,BFS,0.3553417355558567
20,BFS,0.3553417355558567
25,BFS,0.3553417355558567
26,BFS,0.3553417355558567
28,BFS,0.3553417355558567
31,BFS,0.3553417355558567
35,BFS,0.3553417355558567
39,BFS,0.3553417355558567
48,BFS,0.3553417355558567
49,BFS,0.3553417355558567
50,BFS,0.3553417355558567
57,BFS,0.3553417355558567
59,BFS,0.3553417355558567
68,BFS,0.3553417355558567
75,BFS,0.3553417355558567
93,BFS,0.3553417355558567
118,BFS,0.3553417355558567
124,BFS,0.3553417355558567
129,BFS,0.3553417355558567
130,BFS,0.3553417355558567
131,BFS,0.3553417355558567
137,BFS,0.3553417355558567
142,BFS,0.3553417355558567
143,BFS,0.3553417355558567
155,BFS,0.3553417355558567
176,BFS,0.3553417355558567
192,BFS,0.3553417355558567
193,BFS,0.3553417355558567
194,BFS,0.3553417355558567
195,BFS,0.3553417355558567
197,BFS,0.3553417355558567
204,BFS,0.3553417355558567
212,BFS,0.3553417355558567
215,BFS,0.3553417355558567
223,BFS,0.3553417355558567
233,BFS,0.3553417355558567
241,BFS,0.3553417355558567
246,BFS,0.3553417355558567
256,BFS,0.3553417355558567
268,BFS,0.3553417355558567
277,BFS,0.3553417355558567
291,BFS,0.3553417355558567
295,BFS,0.3553417355558567
301,BFS,0.3553417355558567
307,BFS,0.3553417355558567
319,BFS,0.3553417355558567
325,BFS,0.3553417355558567
336,BFS,0.3553417355558567
338,BFS,0.3553417355558567
339,BFS,0.3553417355558567
352,BFS,0.3553417355558567
357,BFS,0.3553417355558567
358,BFS,0.3553417355558567
360,BFS,0.3553417355558567
362,BFS,0.3553417355558567
363,BFS,0.3553417355558567
370,BFS,0.3553417355558567
380,BFS,0.3553417355558567
381,BFS,0.3553417355558567
382,BFS,0.3553417355558567
383,BFS,0.3553417355558567
388,BFS,0.3553417355558567
394,BFS,0.3553417355558567
401,BFS,0.3553417355558567
405,BFS,0.3553417355558567
406,BFS,0.3553417355558567
415,BFS,0.3553417355558567
418,BFS,0.3553417355558567
423,BFS,0.3553417355558567
431,BFS,0.3553417355558567
434,BFS,0.3553417355558567
444,BFS,0.3553417355558567
445,BFS,0.3553417355558567
446,BFS,0.3553417355558567
452,BFS,0.3553417355558567
456,BFS,0.3553417355558567
462,BFS,0.3553417355558567
463,BFS,0.3553417355558567
464,BFS,0.3553417355558567
469,BFS,0.3553417355558567
471,BFS,0.3553417355558567
473,BFS,0.3553417355558567
476,BFS,0.3553417355558567
480,BFS,0.3553417355558567
490,BFS,0.3553417355558567
493,BFS,0.3553417355558567
502,BFS,0.3553417355558567
511,BFS,0.3553417355558567
512,BFS,0.3553417355558567
515,BFS,0.3553417355558567
528,BFS,0.3553417355558567
532,BFS,0.3553417355558567
552,BFS,0.3553417355558567
560,BFS,0.3553417355558567
562,BFS,0.3553417355558567
576,BFS,0.3553417355558567
578,BFS,0.3553417355558567
587,BFS,0.3553417355558567
593,BFS,0.3553417355558567
597,BFS,0.3553417355558567
603,BFS,0.3553417355558567
629,BFS,0.3553417355558567
638,BFS,0.3553417355558567
640,BFS,0.3553417355558567
646,BFS,0.3553417355558567
650,BFS,0.3553417355558567
677,BFS,0.3553417355558567
701,BFS,0.3553417355558567
710,BFS,0.3553417355558567
716,BFS,0.3553417355558567
727,BFS,0.3553417355558567
728,BFS,0.3553417355558567
735,BFS,0.3553417355558567
738,BFS,0.3553417355558567
742,BFS,0.3553417355558567
744,BFS,0.3553417355558567
752,BFS,0.3553417355558567
753,BFS,0.3553417355558567
763,BFS,0.3553417355558567
764,BFS,0.3553417355558567
772,BFS,0.3553417355558567
777,BFS,0.3553417355558567
783,BFS,0.3553417355558567
791,BFS,0.3553417355558567
813,BFS,0.3553417355558567
819,BFS,0.3553417355558567
820,BFS,0.3553417355558567
822,BFS,0.3553417355558567
829,BFS,0.3553417355558567
831,BFS,0.3553417355558567
832,BFS,0.3553417355558567
836,BFS,0.3553417355558567
844,BFS,0.3553417355558567
853,BFS,0.3553417355558567
862,BFS,0.3553417355558567
868,BFS,0.3553417355558567
878,BFS,0.3553417355558567
880,BFS,0.3553417355558567
894,BFS,0.3553417355558567
903,BFS,0.3553417355558567
912,BFS,0.3553417355558567
913,BFS,0.3553417355558567
920,BFS,0.3553417355558567
922,BFS,0.3553417355558567
931,BFS,0.3553417355558567
932,BFS,0.3553417355558567
937,BFS,0.3553417355558567
948,BFS,0.3553417355558567
949,BFS,0.3553417355558567
964,BFS,0.3553417355558567
985,BFS,0.3553417355558567
995,BFS,0.3553417355558567
2,BFS,0.3553417355558567
4,BFS,0.3553417355558567
23,BFS,0.3553417355558567
36,BFS,0.3553417355558567
37,BFS,0.3553417355558567
42,BFS,0.3553417355558567
43,BFS,0.3553417355558567
51,BFS,0.3553417355558567
81,BFS,0.3553417355558567
100,BFS,0.3553417355558567
106,BFS,0.3553417355558567
107,BFS,0.3553417355558567
110,BFS,0.3553417355558567
114,BFS,0.3553417355558567
122,BFS,0.3553417355558567
123,BFS,0.3553417355558567
134,BFS,0.3553417355558567
136,BFS,0.3553417355558567
153,BFS,0.3553417355558567
154,BFS,0.3553417355558567
157,BFS,0.3553417355558567
160,BFS,0.3553417355558567
188,BFS,0.3553417355558567
196,BFS,0.3553417355558567
202,BFS,0.3553417355558567
211,BFS,0.3553417355558567
218,BFS,0.3553417355558567
222,BFS,0.3553417355558567
227,BFS,0.3553417355558567
231,BFS,0.3553417355558567
240,BFS,0.3553417355558567
281,BFS,0.3553417355558567
292,BFS,0.3553417355558567
293,BFS,0.3553417355558567
294,BFS,0.3553417355558567
299,BFS,0.3553417355558567
304,BFS,0.3553417355558567
318,BFS,0.3553417355558567
329,BFS,0.3553417355558567
335,BFS,0.3553417355558567
337,BFS,0.3553417355558567
341,BFS,0.3553417355558567
348,BFS,0.3553417355558567
351,BFS,0.3553417355558567
384,BFS,0.3553417355558567
387,BFS,0.3553417355558567
390,BFS,0.3553417355558567
396,BFS,0.3553417355558567
397,BFS,0.3553417355558567
402,BFS,0.3553417355558567
407,BFS,0.3553417355558567
410,BFS,0.3553417355558567
412,BFS,0.3553417355558567
440,BFS,0.3553417355558567
449,BFS,0.3553417355558567
451,BFS,0.3553417355558567
460,BFS,0.3553417355558567
472,BFS,0.3553417355558567
474,BFS,0.3553417355558567
481,BFS,0.3553417355558567
486,BFS,0.3553417355558567
488,BFS,0.3553417355558567
494,BFS,0.3553417355558567
495,BFS,0.3553417355558567
500,BFS,0.3553417355558567
517,BFS,0.3553417355558567
523,BFS,0.3553417355558567
533,BFS,0.3553417355558567
547,BFS,0.3553417355558567
548,BFS,0.3553417355558567
549,BFS,0.3553417355558567
564,BFS,0.3553417355558567
575,BFS,0.3553417355558567
577,BFS,0.3553417355558567
592,BFS,0.3553417355558567
595,BFS,0.3553417355558567
600,BFS,0.3553417355558567
606,BFS,0.3553417355558567
610,BFS,0.3553417355558567
634,BFS,0.3553417355558567
652,BFS,0.3553417355558567
656,BFS,0.3553417355558567
662,BFS,0.3553417355558567
672,BFS,0.3553417355558567
682,BFS,0.3553417355558567
688,BFS,0.3553417355558567
690,BFS,0.3553417355558567
707,BFS,0.3553417355558567
730,BFS,0.3553417355558567
736,BFS,0.3553417355558567
750,BFS,0.3553417355558567
778,BFS,0.3553417355558567
781,BFS,0.3553417355558567
789,BFS,0.3553417355558567
795,BFS,0.3553417355558567
798,BFS,0.3553417355558567
800,BFS,0.3553417355558567
807,BFS,0.3553417355558567
816,BFS,0.3553417355558567
818,BFS,0.3553417355558567
828,BFS,0.3553417355558567
830,BFS,0.3553417355558567
841,BFS,0.3553417355558567
847,BFS,0.3553417355558567
857,BFS,0.3553417355558567
859,BFS,0.3553417355558567
871,BFS,0.3553417355558567
881,BFS,0.3553417355558567
884,BFS,0.3553417355558567
885,BFS,0.3553417355558567
888,BFS,0.3553417355558567
890,BFS,0.3553417355558567
893,BFS,0.3553417355558567
900,BFS,0.3553417355558567
906,BFS,0.3553417355558567
929,BFS,0.3553417355558567
933,BFS,0.3553417355558567
934,BFS,0.3553417355558567
938,BFS,0.3553417355558567
952,BFS,0.3553417355558567
962,BFS,0.3553417355558567
975,BFS,0.3553417355558567
982,BFS,0.3553417355558567
983,BFS,0.3553417355558567
989,BFS,0.3553417355558567
15,BFS,0.3553417355558567
17,BFS,0.3553417355558567
30,BFS,0.3553417355558567
67,BFS,0.3553417355558567
78,BFS,0.3553417355558567
82,BFS,0.3553417355558567
104,BFS,0.3553417355558567
120,BFS,0.3553417355558567
185,BFS,0.3553417355558567
232,BFS,0.3553417355558567
254,BFS,0.3553417355558567
260,BFS,0.3553417355558567
296,BFS,0.3553417355558567
322,BFS,0.3553417355558567
333,BFS,0.3553417355558567
343,BFS,0.3553417355558567
350,BFS,0.3553417355558567
422,BFS,0.3553417355558567
425,BFS,0.3553417355558567
466,BFS,0.3553417355558567
505,BFS,0.3553417355558567
520,BFS,0.3553417355558567
527,BFS,0.3553417355558567
536,BFS,0.3553417355558567
538,BFS,0.3553417355558567
542,BFS,0.3553417355558567
571,BFS,0.3553417355558567
574,BFS,0.3553417355558567
580,BFS,0.3553417355558567
586,BFS,0.3553417355558567
601,BFS,0.3553417355558567
615,BFS,0.3553417355558567
622,BFS,0.3553417355558567
631,BFS,0.3553417355558567
642,BFS,0.3553417355558567
648,BFS,0.3553417355558567
651,BFS,0.3553417355558567
655,BFS,0.3553417355558567
665,BFS,0.3553417355558567
685,BFS,0.3553417355558567
689,BFS,0.3553417355558567
693,BFS,0.3553417355558567
702,BFS,0.3553417355558567
709,BFS,0.3553417355558567
715,BFS,0.3553417355558567
740,BFS,0.3553417355558567
785,BFS,0.3553417355558567
794,BFS,0.3553417355558567
811,BFS,0.3553417355558567
833,BFS,0.3553417355558567
850,BFS,0.3553417355558567
876,BFS,0.3553417355558567
883,BFS,0.3553417355558567
902,BFS,0.3553417355558567
926,BFS,0.3553417355558567
928,BFS,0.3553417355558567
