Padrao,Busca,DensidadeRegiao
751,BFS,0.06238238238238238
3,BFS,0.06238238238238238
6,BFS,0.06238238238238238
8,BFS,0.06238238238238238
11,BFS,0.06238238238238238
22,BFS,0.06238238238238238
23,BFS,0.06238238238238238
28,BFS,0.06238238238238238
36,BFS,0.06238238238238238
40,BFS,0.06238238238238238
43,BFS,0.06238238238238238
45,BFS,0.06238238238238238
50,BFS,0.06238238238238238
55,BFS,0.06238238238238238
61,BFS,0.06238238238238238
62,BFS,0.06238238238238238
66,BFS,0.06238238238238238
73,BFS,0.06238238238238238
75,BFS,0.06238238238238238
76,BFS,0.06238238238238238
80,BFS,0.06238238238238238
83,BFS,0.06238238238238238
86,BFS,0.06238238238238238
90,BFS,0.06238238238238238
93,BFS,0.06238238238238238
96,BFS,0.06238238238238238
97,BFS,0.06238238238238238
106,BFS,0.06238238238238238
109,BFS,0.06238238238238238
115,BFS,0.06238238238238238
124,BFS,0.06238238238238238
128,BFS,0.06238238238238238
129,BFS,0.06238238238238238
150,BFS,0.06238238238238238
158,BFS,0.06238238238238238
162,BFS,0.06238238238238238
164,BFS,0.06238238238238238
170,BFS,0.06238238238238238
174,BFS,0.06238238238238238
189,BFS,0.06238238238238238
195,BFS,0.06238238238238238
204,BFS,0.06238238238238238
219,BFS,0.06238238238238238
222,BFS,0.06238238238238238
225,BFS,0.06238238238238238
231,BFS,0.06238238238238238
240,BFS,0.06238238238238238
260,BFS,0.06238238238238238
261,BFS,0.06238238238238238
266,BFS,0.06238238238238238
268,BFS,0.06238238238238238
289,BFS,0.06238238238238238
304,BFS,0.06238238238238238
305,BFS,0.06238238238238238
310,BFS,0.06238238238238238
311,BFS,0.06238238238238238
312,BFS,0.06238238238238238
313,BFS,0.06238238238238238
320,BFS,0.06238238238238238
325,BFS,0.06238238238238238
326,BFS,0.06238238238238238
335,BFS,0.06238238238238238
338,BFS,0.06238238238238238
340,BFS,0.06238238238238238
344,BFS,0.06238238238238238
347,BFS,0.06238238238238238
353,BFS,0.06238238238238238
360,BFS,0.06238238238238238
367,BFS,0.06238238238238238
372,BFS,0.06238238238238238
375,BFS,0.06238238238238238
