Padrao,Busca,DensidadeRegiao
923,BFS,0.037115115115115116
38,BFS,0.037115115115115116
43,BFS,0.037115115115115116
46,BFS,0.037115115115115116
50,BFS,0.037115115115115116
51,BFS,0.037115115115115116
52,BFS,0.037115115115115116
73,BFS,0.037115115115115116
79,BFS,0.037115115115115116
112,BFS,0.037115115115115116
117,BFS,0.037115115115115116
127,BFS,0.037115115115115116
128,BFS,0.037115115115115116
141,BFS,0.037115115115115116
157,BFS,0.037115115115115116
170,BFS,0.037115115115115116
173,BFS,0.037115115115115116
182,BFS,0.037115115115115116
187,BFS,0.037115115115115116
189,BFS,0.037115115115115116
205,BFS,0.037115115115115116
206,BFS,0.037115115115115116
227,BFS,0.037115115115115116
259,BFS,0.037115115115115116
261,BFS,0.037115115115115116
271,BFS,0.037115115115115116
292,BFS,0.037115115115115116
296,BFS,0.037115115115115116
307,BFS,0.037115115115115116
331,BFS,0.037115115115115116
346,BFS,0.037115115115115116
347,BFS,0.037115115115115116
350,BFS,0.037115115115115116
353,BFS,0.037115115115115116
361,BFS,0.037115115115115116
380,BFS,0.037115115115115116
385,BFS,0.037115115115115116
389,BFS,0.037115115115115116
410,BFS,0.037115115115115116
412,BFS,0.037115115115115116
428,BFS,0.037115115115115116
429,BFS,0.037115115115115116
458,BFS,0.037115115115115116
470,BFS,0.037115115115115116
485,BFS,0.037115115115115116
495,BFS,0.037115115115115116
500,BFS,0.037115115115115116
513,BFS,0.037115115115115116
518,BFS,0.037115115115115116
526,BFS,0.037115115115115116
529,BFS,0.037115115115115116
541,BFS,0.037115115115115116
542,BFS,0.037115115115115116
544,BFS,0.037115115115115116
546,BFS,0.037115115115115116
549,BFS,0.037115115115115116
558,BFS,0.037115115115115116
570,BFS,0.037115115115115116
571,BFS,0.037115115115115116
574,BFS,0.037115115115115116
577,BFS,0.037115115115115116
615,BFS,0.037115115115115116
643,BFS,0.037115115115115116
644,BFS,0.037115115115115116
652,BFS,0.037115115115115116
656,BFS,0.037115115115115116
657,BFS,0.037115115115115116
668,BFS,0.037115115115115116
680,BFS,0.037115115115115116
686,BFS,0.037115115115115116
688,BFS,0.037115115115115116
701,BFS,0.037115115115115116
742,BFS,0.037115115115115116
750,BFS,0.037115115115115116
761,BFS,0.037115115115115116
769,BFS,0.037115115115115116
775,BFS,0.037115115115115116
776,BFS,0.037115115115115116
788,BFS,0.037115115115115116
808,BFS,0.037115115115115116
812,BFS,0.037115115115115116
813,BFS,0.037115115115115116
817,BFS,0.037115115115115116
845,BFS,0.037115115115115116
851,BFS,0.037115115115115116
872,BFS,0.037115115115115116
873,BFS,0.037115115115115116
889,BFS,0.037115115115115116
897,BFS,0.037115115115115116
903,BFS,0.037115115115115116
916,BFS,0.037115115115115116
934,BFS,0.037115115115115116
948,BFS,0.037115115115115116
949,BFS,0.037115115115115116
966,BFS,0.037115115115115116
968,BFS,0.037115115115115116
972,BFS,0.037115115115115116
980,BFS,0.037115115115115116
987,BFS,0.037115115115115116
83,BFS,0.037115115115115116
85,BFS,0.037115115115115116
203,BFS,0.037115115115115116
474,BFS,0.037115115115115116
484,BFS,0.037115115115115116
566,BFS,0.037115115115115116
584,BFS,0.037115115115115116
630,BFS,0.037115115115115116
639,BFS,0.037115115115115116
647,BFS,0.037115115115115116
736,BFS,0.037115115115115116
781,BFS,0.037115115115115116
811,BFS,0.037115115115115116
819,BFS,0.037115115115115116
849,BFS,0.037115115115115116
867,BFS,0.037115115115115116
920,BFS,0.037115115115115116
931,BFS,0.037115115115115116
940,BFS,0.037115115115115116
951,BFS,0.037115115115115116
961,BFS,0.037115115115115116
979,BFS,0.037115115115115116
989,BFS,0.037115115115115116
8,BFS,0.037115115115115116
86,BFS,0.037115115115115116
179,BFS,0.037115115115115116
287,BFS,0.037115115115115116
310,BFS,0.037115115115115116
315,BFS,0.037115115115115116
319,BFS,0.037115115115115116
328,BFS,0.037115115115115116
329,BFS,0.037115115115115116
352,BFS,0.037115115115115116
363,BFS,0.037115115115115116
460,BFS,0.037115115115115116
472,BFS,0.037115115115115116
504,BFS,0.037115115115115116
517,BFS,0.037115115115115116
531,BFS,0.037115115115115116
540,BFS,0.037115115115115116
581,BFS,0.037115115115115116
603,BFS,0.037115115115115116
672,BFS,0.037115115115115116
706,BFS,0.037115115115115116
719,BFS,0.037115115115115116
731,BFS,0.037115115115115116
735,BFS,0.037115115115115116
748,BFS,0.037115115115115116
794,BFS,0.037115115115115116
830,BFS,0.037115115115115116
852,BFS,0.037115115115115116
925,BFS,0.037115115115115116
942,BFS,0.037115115115115116
978,BFS,0.037115115115115116
20,BFS,0.037115115115115116
26,BFS,0.037115115115115116
40,BFS,0.037115115115115116
59,BFS,0.037115115115115116
138,BFS,0.037115115115115116
161,BFS,0.037115115115115116
176,BFS,0.037115115115115116
202,BFS,0.037115115115115116
223,BFS,0.037115115115115116
254,BFS,0.037115115115115116
273,BFS,0.037115115115115116
327,BFS,0.037115115115115116
345,BFS,0.037115115115115116
368,BFS,0.037115115115115116
371,BFS,0.037115115115115116
398,BFS,0.037115115115115116
405,BFS,0.037115115115115116
419,BFS,0.037115115115115116
435,BFS,0.037115115115115116
445,BFS,0.037115115115115116
449,BFS,0.037115115115115116
487,BFS,0.037115115115115116
499,BFS,0.037115115115115116
502,BFS,0.037115115115115116
507,BFS,0.037115115115115116
559,BFS,0.037115115115115116
567,BFS,0.037115115115115116
598,BFS,0.037115115115115116
621,BFS,0.037115115115115116
631,BFS,0.037115115115115116
665,BFS,0.037115115115115116
692,BFS,0.037115115115115116
741,BFS,0.037115115115115116
753,BFS,0.037115115115115116
848,BFS,0.037115115115115116
861,BFS,0.037115115115115116
893,BFS,0.037115115115115116
907,BFS,0.037115115115115116
958,BFS,0.037115115115115116
959,BFS,0.037115115115115116
976,BFS,0.037115115115115116
990,BFS,0.037115115115115116
69,BFS,0.037115115115115116
116,BFS,0.037115115115115116
171,BFS,0.037115115115115116
178,BFS,0.037115115115115116
193,BFS,0.037115115115115116
204,BFS,0.037115115115115116
260,BFS,0.037115115115115116
299,BFS,0.037115115115115116
414,BFS,0.037115115115115116
456,BFS,0.037115115115115116
475,BFS,0.037115115115115116
477,BFS,0.037115115115115116
521,BFS,0.037115115115115116
585,BFS,0.037115115115115116
594,BFS,0.037115115115115116
690,BFS,0.037115115115115116
713,BFS,0.037115115115115116
747,BFS,0.037115115115115116
988,BFS,0.037115115115115116
7,BFS,0.037115115115115116
11,BFS,0.037115115115115116
35,BFS,0.037115115115115116
61,BFS,0.037115115115115116
62,BFS,0.037115115115115116
70,BFS,0.037115115115115116
87,BFS,0.037115115115115116
97,BFS,0.037115115115115116
133,BFS,0.037115115115115116
139,BFS,0.037115115115115116
183,BFS,0.037115115115115116
208,BFS,0.037115115115115116
215,BFS,0.037115115115115116
222,BFS,0.037115115115115116
253,BFS,0.037115115115115116
262,BFS,0.037115115115115116
318,BFS,0.037115115115115116
335,BFS,0.037115115115115116
338,BFS,0.037115115115115116
432,BFS,0.037115115115115116
464,BFS,0.037115115115115116
483,BFS,0.037115115115115116
509,BFS,0.037115115115115116
519,BFS,0.037115115115115116
537,BFS,0.037115115115115116
555,BFS,0.037115115115115116
593,BFS,0.037115115115115116
634,BFS,0.037115115115115116
635,BFS,0.037115115115115116
646,BFS,0.037115115115115116
