Padrao,Busca,NMPA_Parcial
0,DFS,19
5,BFS,19
6,BFS,22
9,BFS,23
11,BFS,28
13,BFS,32
14,BFS,37
16,BFS,38
20,BFS,40
25,BFS,42
26,BFS,45
28,BFS,47
31,BFS,49
33,BFS,50
35,BFS,51
39,BFS,51
41,BFS,55
44,BFS,58
46,BFS,60
48,BFS,62
49,BFS,65
50,BFS,68
53,BFS,74
57,BFS,76
59,BFS,79
61,BFS,79
64,BFS,81
65,BFS,82
66,BFS,85
68,BFS,86
70,BFS,89
71,BFS,94
75,BFS,98
80,BFS,105
85,BFS,109
87,BFS,114
93,BFS,117
95,BFS,122
97,BFS,127
103,BFS,130
111,BFS,135
117,BFS,140
118,BFS,144
121,BFS,148
124,BFS,155
129,BFS,159
130,BFS,164
131,BFS,170
137,BFS,179
140,BFS,181
142,BFS,185
143,BFS,190
147,BFS,192
151,BFS,196
155,BFS,202
159,BFS,209
169,BFS,217
171,BFS,222
174,BFS,226
176,BFS,229
178,BFS,234
182,BFS,240
183,BFS,248
187,BFS,252
190,BFS,255
192,BFS,259
193,BFS,265
194,BFS,269
195,BFS,271
197,BFS,277
203,BFS,277
204,BFS,285
212,BFS,289
215,BFS,291
223,BFS,294
224,BFS,300
233,BFS,307
239,BFS,310
241,BFS,315
242,BFS,324
243,BFS,326
246,BFS,333
248,BFS,340
249,BFS,347
256,BFS,351
268,BFS,358
275,BFS,360
277,BFS,365
279,BFS,369
282,BFS,377
284,BFS,384
291,BFS,385
295,BFS,388
297,BFS,393
298,BFS,400
301,BFS,405
307,BFS,411
311,BFS,415
316,BFS,418
317,BFS,423
319,BFS,429
321,BFS,430
325,BFS,434
327,BFS,437
332,BFS,442
334,BFS,445
336,BFS,449
338,BFS,453
339,BFS,459
344,BFS,464
352,BFS,466
357,BFS,469
358,BFS,477
360,BFS,478
361,BFS,483
362,BFS,489
363,BFS,493
368,BFS,497
370,BFS,499
373,BFS,501
375,BFS,505
380,BFS,508
381,BFS,509
382,BFS,512
383,BFS,521
388,BFS,526
389,BFS,530
391,BFS,537
392,BFS,543
394,BFS,544
395,BFS,549
398,BFS,555
401,BFS,561
403,BFS,565
405,BFS,570
406,BFS,579
411,BFS,584
414,BFS,588
415,BFS,592
416,BFS,596
417,BFS,600
418,BFS,606
423,BFS,609
424,BFS,616
428,BFS,622
429,BFS,626
430,BFS,631
431,BFS,635
434,BFS,637
441,BFS,644
443,BFS,646
444,BFS,652
445,BFS,656
446,BFS,657
452,BFS,662
453,BFS,665
456,BFS,670
462,BFS,674
463,BFS,676
464,BFS,681
469,BFS,683
471,BFS,686
473,BFS,689
475,BFS,690
476,BFS,692
478,BFS,693
480,BFS,694
482,BFS,694
487,BFS,696
490,BFS,698
493,BFS,703
499,BFS,708
501,BFS,714
502,BFS,718
506,BFS,722
508,BFS,725
511,BFS,729
512,BFS,732
515,BFS,733
519,BFS,736
522,BFS,741
525,BFS,743
528,BFS,746
530,BFS,747
532,BFS,748
537,BFS,752
540,BFS,754
552,BFS,756
559,BFS,758
560,BFS,760
561,BFS,760
562,BFS,763
563,BFS,768
566,BFS,771
568,BFS,773
576,BFS,774
578,BFS,779
581,BFS,782
583,BFS,785
587,BFS,788
593,BFS,791
594,BFS,794
597,BFS,801
603,BFS,802
604,BFS,805
605,BFS,806
607,BFS,807
613,BFS,810
618,BFS,810
626,BFS,814
629,BFS,814
632,BFS,816
638,BFS,816
640,BFS,817
641,BFS,819
646,BFS,820
647,BFS,820
650,BFS,821
660,BFS,824
664,BFS,825
668,BFS,825
673,BFS,827
674,BFS,828
675,BFS,828
676,BFS,829
677,BFS,831
679,BFS,833
694,BFS,835
695,BFS,837
697,BFS,838
701,BFS,838
703,BFS,840
704,BFS,841
706,BFS,844
710,BFS,844
712,BFS,844
716,BFS,844
724,BFS,844
727,BFS,846
728,BFS,849
729,BFS,849
733,BFS,851
735,BFS,852
738,BFS,854
742,BFS,854
744,BFS,855
752,BFS,855
753,BFS,857
757,BFS,859
758,BFS,859
759,BFS,859
762,BFS,859
763,BFS,859
764,BFS,859
768,BFS,862
771,BFS,864
772,BFS,867
775,BFS,868
777,BFS,873
779,BFS,873
783,BFS,876
788,BFS,877
791,BFS,879
799,BFS,880
802,BFS,880
803,BFS,881
804,BFS,882
813,BFS,885
819,BFS,886
820,BFS,888
821,BFS,889
822,BFS,891
