Padrao,Busca,NMPA_Parcial
0,DFS,13
8,BFS,13
36,BFS,15
37,BFS,16
38,BFS,16
40,BFS,19
48,BFS,21
55,BFS,22
59,BFS,24
65,BFS,25
67,BFS,26
69,BFS,26
75,BFS,27
82,BFS,30
88,BFS,33
102,BFS,36
111,BFS,42
120,BFS,45
125,BFS,45
126,BFS,47
127,BFS,52
133,BFS,54
146,BFS,56
178,BFS,58
181,BFS,62
196,BFS,62
202,BFS,65
207,BFS,70
210,BFS,74
219,BFS,76
220,BFS,79
221,BFS,80
226,BFS,82
237,BFS,83
251,BFS,85
267,BFS,87
276,BFS,91
279,BFS,91
289,BFS,93
290,BFS,93
294,BFS,96
295,BFS,97
298,BFS,97
302,BFS,102
304,BFS,104
305,BFS,108
309,BFS,112
312,BFS,114
319,BFS,117
320,BFS,123
323,BFS,123
329,BFS,124
330,BFS,126
335,BFS,129
343,BFS,131
352,BFS,133
357,BFS,138
370,BFS,142
374,BFS,144
393,BFS,144
394,BFS,146
396,BFS,148
413,BFS,150
438,BFS,151
445,BFS,153
446,BFS,155
449,BFS,158
456,BFS,165
458,BFS,168
460,BFS,170
484,BFS,176
494,BFS,180
500,BFS,183
501,BFS,193
502,BFS,199
507,BFS,200
508,BFS,205
514,BFS,210
520,BFS,214
534,BFS,218
537,BFS,221
545,BFS,223
552,BFS,229
569,BFS,232
573,BFS,234
591,BFS,238
592,BFS,240
605,BFS,245
608,BFS,248
615,BFS,252
622,BFS,253
629,BFS,255
630,BFS,257
652,BFS,259
656,BFS,262
658,BFS,263
659,BFS,266
664,BFS,269
674,BFS,273
678,BFS,277
682,BFS,283
685,BFS,288
687,BFS,291
692,BFS,293
709,BFS,298
728,BFS,301
741,BFS,305
742,BFS,313
744,BFS,317
751,BFS,319
752,BFS,327
756,BFS,329
767,BFS,334
768,BFS,337
776,BFS,344
777,BFS,348
780,BFS,348
781,BFS,351
784,BFS,355
786,BFS,359
788,BFS,364
791,BFS,369
798,BFS,369
802,BFS,372
804,BFS,379
806,BFS,386
823,BFS,389
830,BFS,392
831,BFS,395
833,BFS,400
835,BFS,404
836,BFS,405
858,BFS,406
867,BFS,410
877,BFS,412
882,BFS,416
892,BFS,418
894,BFS,422
897,BFS,427
912,BFS,427
920,BFS,432
922,BFS,435
925,BFS,437
937,BFS,438
942,BFS,442
948,BFS,445
958,BFS,447
961,BFS,449
964,BFS,450
968,BFS,453
980,BFS,455
985,BFS,460
13,BFS,462
17,BFS,463
26,BFS,465
39,BFS,466
52,BFS,468
58,BFS,472
72,BFS,474
74,BFS,477
77,BFS,482
100,BFS,484
103,BFS,484
108,BFS,488
109,BFS,492
114,BFS,494
115,BFS,497
156,BFS,499
162,BFS,503
165,BFS,507
166,BFS,514
177,BFS,521
183,BFS,525
195,BFS,526
204,BFS,526
205,BFS,533
209,BFS,535
213,BFS,538
214,BFS,541
247,BFS,547
268,BFS,552
269,BFS,555
272,BFS,556
275,BFS,557
287,BFS,560
288,BFS,563
316,BFS,566
322,BFS,567
327,BFS,569
331,BFS,571
339,BFS,574
354,BFS,574
355,BFS,578
364,BFS,579
366,BFS,581
369,BFS,581
375,BFS,584
376,BFS,590
378,BFS,592
379,BFS,592
387,BFS,593
397,BFS,594
399,BFS,596
403,BFS,597
411,BFS,598
419,BFS,599
423,BFS,602
426,BFS,606
434,BFS,610
435,BFS,613
437,BFS,614
444,BFS,619
459,BFS,621
464,BFS,624
475,BFS,628
478,BFS,632
479,BFS,637
487,BFS,640
489,BFS,641
490,BFS,645
492,BFS,646
498,BFS,647
499,BFS,647
521,BFS,647
543,BFS,649
548,BFS,651
549,BFS,653
557,BFS,655
558,BFS,656
563,BFS,659
570,BFS,659
586,BFS,659
596,BFS,661
599,BFS,662
602,BFS,665
617,BFS,667
618,BFS,669
638,BFS,672
645,BFS,675
646,BFS,677
648,BFS,679
673,BFS,680
680,BFS,681
689,BFS,682
690,BFS,684
693,BFS,685
695,BFS,687
698,BFS,687
708,BFS,688
711,BFS,689
712,BFS,690
714,BFS,692
724,BFS,694
729,BFS,696
758,BFS,697
759,BFS,700
761,BFS,703
765,BFS,704
785,BFS,705
795,BFS,706
800,BFS,708
807,BFS,712
814,BFS,716
815,BFS,719
819,BFS,721
820,BFS,722
822,BFS,723
829,BFS,724
834,BFS,726
840,BFS,728
845,BFS,729
849,BFS,729
861,BFS,734
874,BFS,736
895,BFS,737
