Padrao,Busca,NMPA_Parcial
0,DFS,7
7,BFS,7
8,BFS,7
10,BFS,9
17,BFS,9
19,BFS,9
20,BFS,9
23,BFS,10
28,BFS,11
30,BFS,12
39,BFS,14
51,BFS,17
52,BFS,19
53,BFS,20
55,BFS,21
62,BFS,23
70,BFS,25
76,BFS,26
81,BFS,27
82,BFS,28
91,BFS,30
92,BFS,31
93,BFS,31
99,BFS,32
103,BFS,34
109,BFS,37
111,BFS,37
114,BFS,39
116,BFS,39
118,BFS,41
130,BFS,42
140,BFS,45
145,BFS,45
4,BFS,48
9,BFS,51
22,BFS,51
25,BFS,54
41,BFS,55
57,BFS,55
68,BFS,55
78,BFS,57
83,BFS,60
98,BFS,62
104,BFS,64
107,BFS,65
121,BFS,65
137,BFS,67
149,BFS,68
3,BFS,69
6,BFS,69
21,BFS,71
26,BFS,72
29,BFS,74
46,BFS,76
48,BFS,77
49,BFS,77
56,BFS,77
59,BFS,80
61,BFS,84
79,BFS,84
80,BFS,84
96,BFS,84
97,BFS,85
100,BFS,85
101,BFS,85
102,BFS,85
110,BFS,86
131,BFS,86
134,BFS,86
1,BFS,86
2,BFS,91
11,BFS,91
12,BFS,93
31,BFS,94
32,BFS,95
34,BFS,96
36,BFS,96
58,BFS,96
69,BFS,96
71,BFS,96
85,BFS,96
86,BFS,96
87,BFS,96
124,BFS,97
127,BFS,98
129,BFS,100
133,BFS,100
135,BFS,101
142,BFS,101
16,BFS,104
18,BFS,104
40,BFS,104
44,BFS,105
64,BFS,105
67,BFS,105
94,BFS,106
119,BFS,107
5,BFS,107
33,BFS,107
37,BFS,107
65,BFS,107
77,BFS,109
84,BFS,109
126,BFS,109
139,BFS,110
143,BFS,111
14,BFS,113
15,BFS,114
24,BFS,114
42,BFS,115
45,BFS,115
50,BFS,117
54,BFS,118
63,BFS,118
66,BFS,118
75,BFS,118
115,BFS,118
128,BFS,119
138,BFS,119
146,BFS,119
47,BFS,122
73,BFS,122
105,BFS,122
72,BFS,122
74,BFS,122
125,BFS,122
132,BFS,122
141,BFS,122
13,BFS,122
43,BFS,122
89,BFS,122
95,BFS,123
112,BFS,123
108,BFS,123
136,BFS,123
144,BFS,123
60,BFS,123
88,BFS,123
27,BFS,124
38,BFS,124
106,BFS,124
148,BFS,124
120,BFS,124
147,BFS,124
113,BFS,124
35,BFS,124
122,BFS,124
123,BFS,124
90,BFS,124
117,BFS,124
