Padrao,Busca,NMPA_Parcial
0,DFS,44
1,BFS,56
2,BFS,59
3,BFS,61
4,BFS,62
5,BFS,63
6,BFS,64
7,BFS,66
11,BFS,70
12,BFS,76
13,BFS,82
15,BFS,92
17,BFS,103
18,BFS,108
19,BFS,116
20,BFS,125
21,BFS,132
22,BFS,140
23,BFS,151
24,BFS,165
26,BFS,172
27,BFS,188
29,BFS,196
30,BFS,204
31,BFS,212
32,BFS,221
33,BFS,229
34,BFS,235
35,BFS,244
36,BFS,249
37,BFS,258
38,BFS,270
39,BFS,284
40,BFS,293
41,BFS,301
42,BFS,315
43,BFS,323
44,BFS,335
45,BFS,343
46,BFS,352
47,BFS,358
48,BFS,366
49,BFS,372
53,BFS,382
54,BFS,392
55,BFS,401
57,BFS,409
58,BFS,417
59,BFS,425
60,BFS,427
61,BFS,435
62,BFS,441
63,BFS,449
64,BFS,455
65,BFS,458
66,BFS,467
68,BFS,473
69,BFS,478
71,BFS,490
73,BFS,496
74,BFS,507
75,BFS,511
76,BFS,519
79,BFS,527
80,BFS,540
81,BFS,552
83,BFS,558
84,BFS,571
85,BFS,576
87,BFS,582
88,BFS,588
90,BFS,594
91,BFS,605
93,BFS,613
94,BFS,621
96,BFS,631
97,BFS,635
98,BFS,643
99,BFS,648
100,BFS,657
101,BFS,667
102,BFS,674
103,BFS,678
104,BFS,682
105,BFS,689
106,BFS,691
107,BFS,698
109,BFS,703
110,BFS,712
111,BFS,714
112,BFS,719
113,BFS,722
114,BFS,729
115,BFS,731
116,BFS,743
118,BFS,745
119,BFS,750
120,BFS,754
121,BFS,756
122,BFS,760
123,BFS,763
124,BFS,766
125,BFS,769
127,BFS,773
128,BFS,775
129,BFS,780
130,BFS,782
131,BFS,788
132,BFS,792
133,BFS,799
134,BFS,802
135,BFS,807
137,BFS,813
138,BFS,817
139,BFS,822
140,BFS,829
141,BFS,834
142,BFS,836
143,BFS,839
144,BFS,840
145,BFS,842
146,BFS,848
148,BFS,853
149,BFS,853
150,BFS,859
151,BFS,861
154,BFS,865
155,BFS,868
156,BFS,872
158,BFS,876
159,BFS,880
160,BFS,881
161,BFS,884
162,BFS,885
163,BFS,886
164,BFS,889
165,BFS,893
167,BFS,896
168,BFS,898
169,BFS,900
170,BFS,901
171,BFS,903
172,BFS,905
173,BFS,905
174,BFS,905
175,BFS,906
176,BFS,908
178,BFS,911
181,BFS,914
182,BFS,915
183,BFS,916
184,BFS,917
185,BFS,922
186,BFS,923
189,BFS,927
190,BFS,928
191,BFS,930
193,BFS,931
194,BFS,932
195,BFS,933
196,BFS,935
197,BFS,938
198,BFS,941
199,BFS,941
200,BFS,943
201,BFS,945
202,BFS,946
203,BFS,947
204,BFS,949
206,BFS,949
207,BFS,950
208,BFS,951
210,BFS,952
211,BFS,953
212,BFS,954
213,BFS,956
214,BFS,956
215,BFS,957
216,BFS,958
217,BFS,961
218,BFS,962
219,BFS,962
220,BFS,962
221,BFS,963
222,BFS,964
223,BFS,964
224,BFS,964
225,BFS,965
226,BFS,966
227,BFS,966
229,BFS,966
230,BFS,966
231,BFS,968
232,BFS,968
233,BFS,971
234,BFS,971
235,BFS,971
236,BFS,971
237,BFS,971
238,BFS,971
239,BFS,971
240,BFS,972
242,BFS,973
243,BFS,974
244,BFS,975
245,BFS,975
246,BFS,975
247,BFS,977
248,BFS,977
249,BFS,978
250,BFS,979
251,BFS,981
252,BFS,981
253,BFS,984
254,BFS,984
255,BFS,984
256,BFS,984
257,BFS,984
258,BFS,984
259,BFS,985
260,BFS,985
262,BFS,985
263,BFS,985
264,BFS,986
265,BFS,986
267,BFS,986
268,BFS,986
269,BFS,986
270,BFS,987
271,BFS,987
272,BFS,987
273,BFS,987
274,BFS,988
275,BFS,988
277,BFS,988
279,BFS,988
280,BFS,988
281,BFS,988
283,BFS,990
284,BFS,990
285,BFS,990
286,BFS,990
287,BFS,990
288,BFS,990
289,BFS,990
290,BFS,990
291,BFS,990
292,BFS,990
293,BFS,990
294,BFS,990
295,BFS,990
297,BFS,990
298,BFS,990
299,BFS,990
300,BFS,990
301,BFS,991
302,BFS,991
303,BFS,991
304,BFS,991
305,BFS,993
308,BFS,993
309,BFS,993
310,BFS,994
311,BFS,994
312,BFS,994
314,BFS,995
315,BFS,995
316,BFS,995
317,BFS,995
318,BFS,995
319,BFS,995
321,BFS,995
323,BFS,995
324,BFS,995
325,BFS,995
326,BFS,996
327,BFS,996
328,BFS,996
329,BFS,996
330,BFS,996
331,BFS,996
332,BFS,996
334,BFS,997
335,BFS,997
336,BFS,997
338,BFS,998
339,BFS,998
340,BFS,998
343,BFS,998
344,BFS,998
345,BFS,998
346,BFS,998
347,BFS,998
348,BFS,998
350,BFS,998
352,BFS,998
353,BFS,998
355,BFS,998
357,BFS,998
358,BFS,998
359,BFS,998
360,BFS,998
361,BFS,998
362,BFS,998
363,BFS,998
364,BFS,998
367,BFS,998
368,BFS,998
369,BFS,998
371,BFS,998
372,BFS,999
373,BFS,999
374,BFS,999
375,BFS,999
376,BFS,999
378,BFS,999
379,BFS,999
380,BFS,999
381,BFS,999
382,BFS,999
383,BFS,999
384,BFS,999
385,BFS,999
386,BFS,999
387,BFS,999
388,BFS,999
389,BFS,999
390,BFS,999
391,BFS,999
393,BFS,1000
398,BFS,1000
399,BFS,1000
400,BFS,1000
401,BFS,1000
402,BFS,1000
403,BFS,1000
404,BFS,1000
405,BFS,1000
406,BFS,1000
407,BFS,1000
410,BFS,1000
411,BFS,1000
413,BFS,1000
414,BFS,1000
415,BFS,1000
416,BFS,1000
417,BFS,1000
418,BFS,1000
420,BFS,1000
421,BFS,1000
422,BFS,1000
423,BFS,1000
424,BFS,1000
425,BFS,1000
426,BFS,1000
428,BFS,1000
431,BFS,1000
433,BFS,1000
434,BFS,1000
435,BFS,1000
436,BFS,1000
437,BFS,1000
438,BFS,1000
439,BFS,1000
440,BFS,1000
443,BFS,1000
445,BFS,1000
447,BFS,1000
448,BFS,1000
449,BFS,1000
450,BFS,1000
451,BFS,1000
452,BFS,1000
453,BFS,1000
454,BFS,1000
455,BFS,1000
457,BFS,1000
458,BFS,1000
459,BFS,1000
460,BFS,1000
461,BFS,1000
462,BFS,1000
463,BFS,1000
465,BFS,1000
466,BFS,1000
467,BFS,1000
468,BFS,1000
474,BFS,1000
475,BFS,1000
476,BFS,1000
477,BFS,1000
480,BFS,1000
481,BFS,1000
482,BFS,1000
484,BFS,1000
485,BFS,1000
486,BFS,1000
487,BFS,1000
488,BFS,1000
489,BFS,1000
490,BFS,1000
491,BFS,1000
493,BFS,1000
494,BFS,1000
495,BFS,1000
496,BFS,1000
497,BFS,1000
499,BFS,1000
500,BFS,1000
501,BFS,1000
503,BFS,1000
504,BFS,1000
505,BFS,1000
506,BFS,1000
507,BFS,1000
508,BFS,1000
509,BFS,1000
510,BFS,1000
512,BFS,1000
513,BFS,1000
514,BFS,1000
515,BFS,1000
516,BFS,1000
517,BFS,1000
518,BFS,1000
519,BFS,1000
521,BFS,1000
522,BFS,1000
523,BFS,1000
524,BFS,1000
525,BFS,1000
527,BFS,1000
529,BFS,1000
530,BFS,1000
531,BFS,1000
532,BFS,1000
533,BFS,1000
534,BFS,1000
535,BFS,1000
536,BFS,1000
537,BFS,1000
538,BFS,1000
539,BFS,1000
541,BFS,1000
542,BFS,1000
544,BFS,1000
545,BFS,1000
546,BFS,1000
548,BFS,1000
549,BFS,1000
550,BFS,1000
551,BFS,1000
552,BFS,1000
553,BFS,1000
554,BFS,1000
555,BFS,1000
556,BFS,1000
557,BFS,1000
559,BFS,1000
560,BFS,1000
561,BFS,1000
562,BFS,1000
563,BFS,1000
564,BFS,1000
565,BFS,1000
567,BFS,1000
568,BFS,1000
569,BFS,1000
570,BFS,1000
572,BFS,1000
573,BFS,1000
574,BFS,1000
575,BFS,1000
576,BFS,1000
578,BFS,1000
579,BFS,1000
580,BFS,1000
581,BFS,1000
582,BFS,1000
583,BFS,1000
585,BFS,1000
586,BFS,1000
587,BFS,1000
588,BFS,1000
590,BFS,1000
591,BFS,1000
592,BFS,1000
594,BFS,1000
596,BFS,1000
598,BFS,1000
599,BFS,1000
600,BFS,1000
601,BFS,1000
602,BFS,1000
603,BFS,1000
606,BFS,1000
608,BFS,1000
609,BFS,1000
610,BFS,1000
611,BFS,1000
612,BFS,1000
613,BFS,1000
617,BFS,1000
618,BFS,1000
619,BFS,1000
622,BFS,1000
623,BFS,1000
624,BFS,1000
625,BFS,1000
626,BFS,1000
627,BFS,1000
629,BFS,1000
630,BFS,1000
631,BFS,1000
632,BFS,1000
633,BFS,1000
634,BFS,1000
635,BFS,1000
636,BFS,1000
637,BFS,1000
638,BFS,1000
639,BFS,1000
640,BFS,1000
641,BFS,1000
642,BFS,1000
643,BFS,1000
644,BFS,1000
645,BFS,1000
646,BFS,1000
647,BFS,1000
648,BFS,1000
649,BFS,1000
651,BFS,1000
652,BFS,1000
654,BFS,1000
655,BFS,1000
656,BFS,1000
659,BFS,1000
660,BFS,1000
661,BFS,1000
662,BFS,1000
663,BFS,1000
664,BFS,1000
665,BFS,1000
666,BFS,1000
667,BFS,1000
668,BFS,1000
669,BFS,1000
670,BFS,1000
671,BFS,1000
674,BFS,1000
675,BFS,1000
676,BFS,1000
677,BFS,1000
678,BFS,1000
679,BFS,1000
680,BFS,1000
681,BFS,1000
682,BFS,1000
683,BFS,1000
684,BFS,1000
685,BFS,1000
686,BFS,1000
687,BFS,1000
688,BFS,1000
689,BFS,1000
690,BFS,1000
691,BFS,1000
692,BFS,1000
694,BFS,1000
695,BFS,1000
696,BFS,1000
697,BFS,1000
698,BFS,1000
699,BFS,1000
700,BFS,1000
701,BFS,1000
702,BFS,1000
704,BFS,1000
705,BFS,1000
707,BFS,1000
708,BFS,1000
710,BFS,1000
711,BFS,1000
712,BFS,1000
713,BFS,1000
715,BFS,1000
716,BFS,1000
717,BFS,1000
718,BFS,1000
720,BFS,1000
721,BFS,1000
722,BFS,1000
723,BFS,1000
724,BFS,1000
726,BFS,1000
727,BFS,1000
729,BFS,1000
730,BFS,1000
731,BFS,1000
732,BFS,1000
733,BFS,1000
734,BFS,1000
735,BFS,1000
736,BFS,1000
737,BFS,1000
738,BFS,1000
739,BFS,1000
740,BFS,1000
741,BFS,1000
742,BFS,1000
743,BFS,1000
744,BFS,1000
745,BFS,1000
746,BFS,1000
749,BFS,1000
750,BFS,1000
751,BFS,1000
752,BFS,1000
753,BFS,1000
754,BFS,1000
756,BFS,1000
757,BFS,1000
758,BFS,1000
759,BFS,1000
761,BFS,1000
763,BFS,1000
764,BFS,1000
765,BFS,1000
766,BFS,1000
767,BFS,1000
768,BFS,1000
769,BFS,1000
770,BFS,1000
771,BFS,1000
772,BFS,1000
773,BFS,1000
774,BFS,1000
777,BFS,1000
778,BFS,1000
780,BFS,1000
781,BFS,1000
782,BFS,1000
784,BFS,1000
785,BFS,1000
786,BFS,1000
787,BFS,1000
788,BFS,1000
789,BFS,1000
790,BFS,1000
791,BFS,1000
793,BFS,1000
794,BFS,1000
795,BFS,1000
796,BFS,1000
797,BFS,1000
798,BFS,1000
799,BFS,1000
800,BFS,1000
801,BFS,1000
803,BFS,1000
804,BFS,1000
805,BFS,1000
807,BFS,1000
808,BFS,1000
809,BFS,1000
810,BFS,1000
