Padrao,Busca,NMPA_Parcial
0,DFS,3
1,BFS,5
8,BFS,6
14,BFS,6
18,BFS,6
19,BFS,9
30,BFS,11
11,BFS,12
17,BFS,13
23,BFS,13
24,BFS,13
41,BFS,13
44,BFS,15
45,BFS,16
46,BFS,16
13,BFS,17
9,BFS,18
48,BFS,19
5,BFS,20
38,BFS,20
39,BFS,21
6,BFS,21
16,BFS,22
20,BFS,23
33,BFS,23
34,BFS,25
37,BFS,25
47,BFS,27
49,BFS,28
10,BFS,29
25,BFS,30
32,BFS,31
28,BFS,32
29,BFS,35
40,BFS,35
43,BFS,36
15,BFS,37
22,BFS,37
31,BFS,38
7,BFS,38
26,BFS,38
35,BFS,38
12,BFS,38
3,BFS,38
21,BFS,38
42,BFS,38
2,BFS,38
4,BFS,38
36,BFS,38
27,BFS,38
