Instancia,Tempo_BFS (s),Tempo_DFS (s),Tempo_Comunidades (s),Tempo_Pico (s),Tempo_Componentes (s)
Cenario 1 - 14x8,0.0,0.0,0.002,0.0025,0.0035
Cenario 2 - 10x14,0.0,0.0,0.0011,0.0005,0.0022
Cenario 3 - 30x30,0.0001,0.0001,0.0097,0.0014,0.0154
Cenario 4 - 40x20,0.0001,0.0002,0.0174,0.0017,0.0184
Cenario 5 - 40x50,0.0001,0.0002,0.0065,0.0014,0.0019
Cenario 6 - 20x75,0.0,0.0001,0.0018,0.0007,0.0013
Cenario 7 - 37x134,0.0001,0.0001,0.006,0.0019,0.0027
Cenario 8 - 50x100,0.0001,0.0002,0.0155,0.0025,0.0039
Cenario 9 - 150x150,0.0014,0.002,0.1793,0.0228,0.0289
Cenario 10 - 400x400,0.0019,0.0052,0.3852,0.3095,0.0484
Cenario 11 - 600x600,0.0107,0.0121,1.4682,1.2517,0.5331
Cenario 12 - 800x800,0.0672,0.0288,3.9716,3.0703,3.9223
Cenario 13 - 1000x1000,0.0645,0.0398,5.2282,6.2558,4.7815
Cenario 14 - 1000x1000,0.3518,0.0669,8.8788,7.332,10.9124
Cenario 15 - 1000x1000,0.0327,0.0283,3.5207,5.3552,1.3773
